SMS,Cluster,Cluster_Label
mean post wrote like many times ritten stuff let sit feeling time angry left hit send stop checked phone got car said sleep bored time clean fold laundry etc least make bed,0,Emotional Support
honeybee said sweetest world god laughed amp said wait havnt met person reading msg moral even god crack jokes,0,Emotional Support
happy saying,0,Emotional Support
want tell bad feel basically times text lately need drugs,0,Emotional Support
mind ask happened dont say uncomfortable,0,Emotional Support
life means lot love life love people life world calls friends call world,0,Emotional Support
wishing family merry mas happy new year advance,0,Emotional Support
ello babe,0,Emotional Support
ugh wanna get bed warm,0,Emotional Support
know stubborn even want hospital kept telling mark weak sucker hospitals weak suckers,0,Emotional Support
whatsup dont want sleep,0,Emotional Support
take care understand,0,Emotional Support
happy sit together,0,Emotional Support
yes finished watching days lives love,0,Emotional Support
hope head hurt much ploughing way pile ironing staying chinky tonight come round like,0,Emotional Support
whatsup dont want sleep,0,Emotional Support
hey babe going ever figure going new years,0,Emotional Support
want kiss feel next,0,Emotional Support
give back thanks,0,Emotional Support
wnevr wana fal luv vth books bed fals luv vth yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb,0,Emotional Support
forget though love walk beside watching keeping heart warm,0,Emotional Support
dear friends sorry late information today birthday loving praveesh details log face book see number dont miss delicious treat,0,Emotional Support
hurt prsn close fight wit dem coz somtimes dis fight saves relation quiet leaves nothin relation gud eveb,0,Emotional Support
back bit long cos accident a30 divert via wadebridge brilliant weekend thanks speak soon lots love,0,Emotional Support
send friends receive something voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny irritating lovable reply,0,Emotional Support
good morning princess,0,Emotional Support
well good morning hows london treatin treacle,0,Emotional Support
love ass enjoy doggy style,0,Emotional Support
blankets sufficient thx,0,Emotional Support
lovely smell bus tobacco,0,Emotional Support
babe need advice,0,Emotional Support
darlin hope nice night wish come cant wait see love fran want dirty anal sex want man gang bang,0,Emotional Support
parents kidz friends colleagues screaming surprise waiting sofa naked,0,Emotional Support
okay shining meant signing sounds better,0,Emotional Support
boo things back home little bored already,0,Emotional Support
late love mum,0,Emotional Support
pls pls find aunt nike,0,Emotional Support
babe lost try rebooting,0,Emotional Support
lol nah bad thanks good home quite reality check hows day anything website,0,Emotional Support
got room soon put clocks back til shouted everyone get realised wahay another hour bed,0,Emotional Support
wonders world 7th 6th style 5th smile 4th personality 3rd nature 2nd sms 1st lovely friendship good morning dear,0,Emotional Support
sorry dude dont know forgot even dan reminded sorry hope guys fun,0,Emotional Support
believe true incredible txts reply learn truly amazing things blow mind o2fwd 18p txt,0,Emotional Support
helloooo wake sweet morning welcomes enjoy day full joy gud mrng,0,Emotional Support
thanx sending home,0,Emotional Support
good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always,0,Emotional Support
hanks lotsly,0,Emotional Support
thanx4 today cer nice catch ave find time often well take care soon,0,Emotional Support
popped loo hello hello,0,Emotional Support
kate lovely see tonight ill phone tomorrow got sing guy gave card xxx,0,Emotional Support
thought get watch cos thats kind thing get4an18th loves much,0,Emotional Support
thing apes fight death keep something minute let thats,0,Emotional Support
well know take care worries,0,Emotional Support
okie thanx,0,Emotional Support
sent like,0,Emotional Support
opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,0,Emotional Support
write msg put dictionary mode cover screen hand press gently remove hand interesting,0,Emotional Support
hey gorgeous man work mobile number good one babe squishy mwahs,0,Emotional Support
lover need,0,Emotional Support
hiya sorry hav signal seen heard neither unusual put case get sort hugs snogs,0,Emotional Support
sorry missed babe late slept hope enjoy driving lesson boytoy miss teasing kiss,0,Emotional Support
excellent wish together right,0,Emotional Support
