SMS,Cluster,Cluster_Label
meeting tmr,2,Casual Communication
asking like,2,Casual Communication
course make stink,2,Casual Communication
yup giving problems mayb jus leave,2,Casual Communication
keep seeing weird shit bein woah realising actually reasonable,2,Casual Communication
jay wants work first sound,2,Casual Communication
keep ten shelf buy two egg,2,Casual Communication
going,2,Casual Communication
telling tell one treat,2,Casual Communication
yes outside like hours called whole family wake cause started,2,Casual Communication
yeah got one lined,2,Casual Communication
done handed celebrations full swing yet,2,Casual Communication
water logging desert geoenvironmental implications,2,Casual Communication
today workin free oso gee thgt workin fren shop,2,Casual Communication
taking half day leave bec well,2,Casual Communication
nah man car meant crammed full people,2,Casual Communication
make time tonight whenever cool text whenever around,2,Casual Communication
wat time wan meet later,2,Casual Communication
used hope agents drop since booked things year whole boston nyc experiment,2,Casual Communication
horrible eat macs eat forgot abt already rite take long reply thk toot prepared wat shall eat,2,Casual Communication
thinking going reg pract lessons flung advance haha wat time going,2,Casual Communication
dont worry guess busy,2,Casual Communication
lor anyway thk cant get tickets cos like quite late already wan look frens darren wif,2,Casual Communication
trip got postponed still stocked,2,Casual Communication
good thing getting connection,2,Casual Communication
think might give miss teaching til twelve lecture two damn working thing,2,Casual Communication
also wan watch show,2,Casual Communication
class get text,2,Casual Communication
realise busy guy trying bother get exams outta way try cars gr8 day,2,Casual Communication
gam gone outstanding innings,2,Casual Communication
gloucesterroad uup later,2,Casual Communication
interested like,2,Casual Communication
mom might back later,2,Casual Communication
abt making pics bigger,2,Casual Communication
roger,2,Casual Communication
wait min stand bus stop,2,Casual Communication
think still car,2,Casual Communication
get dump heap mom decided come lowes boring,2,Casual Communication
guess spent last night phasing fourth dimension,2,Casual Communication
wont call disturb one know avoiding burden,2,Casual Communication
pandy joined technologies today got job,2,Casual Communication
special,2,Casual Communication
reached home finally,2,Casual Communication
mind blastin tsunamis occur rajnikant stopped swimming indian ocean,2,Casual Communication
jus came back lunch wif sis leh,2,Casual Communication
cool see,2,Casual Communication
need strong arms,2,Casual Communication
dis yijue would happy work wif gek1510,2,Casual Communication
know old dom told yesterday name roger got touch last night wants meet today,2,Casual Communication
tell headache want use hour sick time,2,Casual Communication
jot things want remember later,2,Casual Communication
watching lor funny bluff wat izzit thk impossible,2,Casual Communication
havent still waitin usual come back sch oredi,2,Casual Communication
good stuff,2,Casual Communication
two teams waiting players,2,Casual Communication
really quite funny lor wat shd haf run shorter distance wat,2,Casual Communication
heard job going wildlife talk tonight want2come that2worzels wizzle whatever,2,Casual Communication
webpage available,2,Casual Communication
latest news police station toilet stolen cops nothing,2,Casual Communication
hey leave friday wait ask superior tell,2,Casual Communication
great shoot big loads get ready,2,Casual Communication
indeed way either,2,Casual Communication
wan doctor,2,Casual Communication
definitely need module humanities dis sem izzit wan take modules 1st,2,Casual Communication
way home,2,Casual Communication
hex place talk explain,2,Casual Communication
got watch meh work today,2,Casual Communication
yuou working getting mom find spot would work need,2,Casual Communication
otherwise part time job tuition,2,Casual Communication
actually nvm got hella cash still ish,2,Casual Communication
diet ate many slices pizza yesterday ugh always diet,2,Casual Communication
dont much image class,2,Casual Communication
going bed prin,2,Casual Communication
lor wan look,2,Casual Communication
let math good,2,Casual Communication
mum went dentist,2,Casual Communication
yep get program slacking,2,Casual Communication
bus going home,2,Casual Communication
special today,2,Casual Communication
hey tmr meet bugis 930,2,Casual Communication
lousy run already come back half dead hee,2,Casual Communication
lor early still project meeting,2,Casual Communication
work week,2,Casual Communication
new address apples pairs malarky,2,Casual Communication
addie amp art get home,2,Casual Communication
nope come online,2,Casual Communication
nooooooo gonna bored death day cable internet outage,2,Casual Communication
free day finish mon thurs,2,Casual Communication
yeah see,2,Casual Communication
laptop take,2,Casual Communication
exactly anyways far jide study visiting,2,Casual Communication
know people still town,2,Casual Communication
night worrying appt shame missed girls night quizzes popcorn hair,2,Casual Communication
remember old commercial,2,Casual Communication
okie scared say fat dun wan already,2,Casual Communication
pls full name joke school cos fees university florida seem actually pls holla back,2,Casual Communication
minimum walk 3miles day,2,Casual Communication
yeah leave couple minutes amp let know get,2,Casual Communication
shhhhh nobody supposed know,2,Casual Communication
apart one told yesterday,2,Casual Communication
delhi chennai still silent,2,Casual Communication
much 8th fifty,2,Casual Communication
