SMS,Cluster,Cluster_Label
meeting tmr,2,Not Spam
2marrow coming class,2,Not Spam
carlos taking sweet time usual let know patty done want smoke tell haul ass,2,Not Spam
thing interesting good birthday wrking nxt started uni today,0,Not Spam
talk others probably come early tomorrow,2,Not Spam
guess,2,Not Spam
gud ni8 swt drms take care,0,Not Spam
send naughty pix,0,Not Spam
keeping away like,2,Not Spam
jay told already,2,Not Spam
hmm thinking lor,2,Not Spam
missed havent much bit bored holiday want bak college sad isnt,0,Not Spam
great trip india bring light everyone project everyone lucky see smile bye abiola,0,Not Spam
piss talking someone realise point read backwards,0,Not Spam
got like get later though get whatever feel like,2,Not Spam
heart empty without love mind empty without wisdom eyes empty without dreams amp life empty without frnds alwys touch good night amp sweet dreams,0,Not Spam
relaxing time ever get 7am every day party good night get home tomorrow 5ish,0,Not Spam
done handed know mega shop asda counts celebration thats,2,Not Spam
sounds good keep posted,2,Not Spam
raji pls favour pls convey birthday wishes nimya pls today birthday,0,Not Spam
much buzy,2,Not Spam
freemsg fav xmas tones reply real,0,Not Spam
annoying,2,Not Spam
see,2,Not Spam
another month need chocolate weed alcohol,2,Not Spam
right brah see later,2,Not Spam
yavnt tried yet never played original either,2,Not Spam
physics get,2,Not Spam
curious cuz asked,2,Not Spam
good morning princess,0,Not Spam
watching,2,Not Spam
type stuff sing,2,Not Spam
babe need advice,0,Not Spam
well good morning hows london treatin treacle,0,Not Spam
coming home dinner,2,Not Spam
thank way lost,0,Not Spam
sorry free,0,Not Spam
ugh apologize admit wrong ask take back,0,Not Spam
reason spoken year anyways great week best exam,0,Not Spam
yeah fine get,2,Not Spam
yet chikku wat abt tht guy stopped irritating msging,0,Not Spam
good hear,0,Not Spam
aight tomorrow around,2,Not Spam
plans yet,2,Not Spam
nice nice working,2,Not Spam
hey kate hope give buz wedlunch outsomewhere adrink town cud 2watershd bit ppl fromwrk bthere love petexxx,0,Not Spam
hey watching movie tonight prob home early,2,Not Spam
well pattern emerging friends telling drive come smoke telling weed fiend make smoke much impede things see hesitant,2,Not Spam
ugh hopefully asus ppl dont randomly reformat,2,Not Spam
use soc use home dunno type word,2,Not Spam
probably gonna see later tonight,2,Not Spam
wan haf lunch canteen,2,Not Spam
guys,2,Not Spam
