SMS,Cluster,Cluster_Label
meeting tmr,2,Casual Planning
asking like,2,Casual Planning
course make stink,2,Casual Planning
yup giving problems mayb jus leave,2,Casual Planning
keep seeing weird shit bein woah realising actually reasonable,2,Casual Planning
jay wants work first sound,2,Casual Planning
keep ten shelf buy two egg,2,Casual Planning
going,2,Casual Planning
telling tell one treat,2,Casual Planning
yes outside like hours called whole family wake cause started,2,Casual Planning
yeah got one lined,2,Casual Planning
done handed celebrations full swing yet,2,Casual Planning
water logging desert geoenvironmental implications,2,Casual Planning
today workin free oso gee thgt workin fren shop,2,Casual Planning
taking half day leave bec well,2,Casual Planning
nah man car meant crammed full people,2,Casual Planning
make time tonight whenever cool text whenever around,2,Casual Planning
wat time wan meet later,2,Casual Planning
used hope agents drop since booked things year whole boston nyc experiment,2,Casual Planning
horrible eat macs eat forgot abt already rite take long reply thk toot prepared wat shall eat,2,Casual Planning
thinking going reg pract lessons flung advance haha wat time going,2,Casual Planning
dont worry guess busy,2,Casual Planning
lor anyway thk cant get tickets cos like quite late already wan look frens darren wif,2,Casual Planning
trip got postponed still stocked,2,Casual Planning
good thing getting connection,2,Casual Planning
think might give miss teaching til twelve lecture two damn working thing,2,Casual Planning
also wan watch show,2,Casual Planning
class get text,2,Casual Planning
realise busy guy trying bother get exams outta way try cars gr8 day,2,Casual Planning
gam gone outstanding innings,2,Casual Planning
gloucesterroad uup later,2,Casual Planning
interested like,2,Casual Planning
mom might back later,2,Casual Planning
abt making pics bigger,2,Casual Planning
roger,2,Casual Planning
wait min stand bus stop,2,Casual Planning
think still car,2,Casual Planning
get dump heap mom decided come lowes boring,2,Casual Planning
guess spent last night phasing fourth dimension,2,Casual Planning
wont call disturb one know avoiding burden,2,Casual Planning
pandy joined technologies today got job,2,Casual Planning
special,2,Casual Planning
reached home finally,2,Casual Planning
mind blastin tsunamis occur rajnikant stopped swimming indian ocean,2,Casual Planning
jus came back lunch wif sis leh,2,Casual Planning
cool see,2,Casual Planning
need strong arms,2,Casual Planning
dis yijue would happy work wif gek1510,2,Casual Planning
know old dom told yesterday name roger got touch last night wants meet today,2,Casual Planning
tell headache want use hour sick time,2,Casual Planning
jot things want remember later,2,Casual Planning
watching lor funny bluff wat izzit thk impossible,2,Casual Planning
havent still waitin usual come back sch oredi,2,Casual Planning
