label,text,clean_strict,clean_light
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",jurong point crazy available bugis great world buffet cine got amore wat,Go until jurong point  crazy   Available only in bugis n great world la e buffet    Cine there got amore wat
ham,Ok lar... Joking wif u oni...,lar joking wif oni,Ok lar    Joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry wkly comp win cup final tkts 21st may 2005 text 87121 receive entry question std txt rate apply 08452810075over18,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005  Text FA to 87121 to receive entry question std txt rate T C s apply 08452810075over18 s
ham,U dun say so early hor... U c already then say...,dun say early hor already say,U dun say so early hor    U c already then say
ham,"Nah I don't think he goes to usf, he lives around here though",nah think goes usf lives around though,Nah I don t think he goes to usf  he lives around here though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",freemsg hey darling week word back like fun still xxx std chgs send rcv,FreeMsg Hey there darling it s been 3 week s now and no word back! I d like some fun you up for it still? Tb ok! XxX std chgs to send   1 50 to rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak treat like aids patent,Even my brother is not like to speak with me  They treat me like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,As per your request  Melle Melle  Oru Minnaminunginte Nurungu Vettam   has been set as your callertune for all Callers  Press  9 to copy your friends Callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valued network customer selected receivea 900 prize reward claim call 09061701461 claim code kl341 valid hours,WINNER!! As a valued network customer you have been selected to receivea  900 prize reward! To claim call 09061701461  Claim code KL341  Valid 12 hours only
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile months entitled update latest colour mobiles camera free call mobile update free 08002986030,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
